id,descripcion,dominio,region,hub,nodo,trigger,b,r2,r_pearson,p,se_b,ci_lo,ci_hi,dw,n,year_min,year_max,significativo,rho_ar1,n_eff,se_infl,estimable,p_ar1,sig_ar1,sig_ar1_solo_gl,corregible
B314,Iran→Egypt 1913-2018,B,Medio_Oriente,Iran,Egypt,gradual,-0.0501,0.0174,-0.1319,0.2762,0.0456,-0.1396,0.0394,0.151,70,1913,2018,False,0.9245,2.75,5.049,False,,False,False,True
B315,Iran→Jordan 1913-2018,B,Medio_Oriente,Iran,Jordan,gradual,0.1278,0.1439,0.3793,0.0012,0.0378,0.0537,0.2019,0.127,70,1913,2018,True,0.9365,2.3,5.522,False,,False,False,True
B316,Iran→Lebanon 1913-2018,B,Medio_Oriente,Iran,Lebanon,gradual,0.3775,0.4996,0.7068,0.0,0.0458,0.2877,0.4672,0.392,70,1913,2018,True,0.804,7.61,3.034,True,0.03726749401832796,True,True,True
B317,Iran→Syria 1913-2018,B,Medio_Oriente,Iran,Syria,gradual,0.4316,0.3404,0.5835,0.0,0.0729,0.2888,0.5744,0.048,70,1913,2018,True,0.976,0.85,9.074,False,,False,False,True
B318,Iran→Yemen 1950-2018,B,Medio_Oriente,Iran,Yemen,gradual,0.1706,0.1542,0.3927,0.0008,0.0488,0.0749,0.2663,0.062,69,1950,2018,True,0.969,1.09,7.97,False,,False,False,True
B319,Saudi Arabia→Iraq 1913-2018,B,Medio_Oriente,Saudi Arabia,Iraq,gradual,0.5333,0.5934,0.7703,0.0,0.0535,0.4284,0.6383,0.218,70,1913,2018,True,0.891,4.03,4.165,True,0.13692728827265366,False,True,True
B320,Iraq→Egypt 1913-2018,B,Medio_Oriente,Iraq,Egypt,gradual,-0.3466,0.2123,-0.4608,0.0001,0.081,-0.5053,-0.188,0.112,70,1913,2018,True,0.944,2.02,5.892,False,,False,False,True
B321,Jordan→Iraq 1913-2018,B,Medio_Oriente,Jordan,Iraq,gradual,0.1688,0.0998,0.316,0.0077,0.0614,0.0483,0.2892,0.124,70,1913,2018,True,0.938,2.24,5.591,False,,False,False,True
B322,Lebanon→Iraq 1913-2018,B,Medio_Oriente,Lebanon,Iraq,gradual,-0.0809,0.0204,-0.1429,0.238,0.068,-0.2141,0.0523,0.268,70,1913,2018,False,0.866,5.03,3.732,True,0.7706039426660208,False,False,True
B323,Syria→Iraq 1913-2018,B,Medio_Oriente,Syria,Iraq,gradual,-0.135,0.0296,-0.1721,0.1544,0.0938,-0.3188,0.0487,0.073,70,1913,2018,False,0.9635,1.3,7.334,False,,False,False,True
B324,Iraq→Yemen 1950-2018,B,Medio_Oriente,Iraq,Yemen,gradual,-0.1309,0.0377,-0.1942,0.1098,0.0807,-0.2891,0.0274,0.089,69,1950,2018,False,0.9555,1.57,6.629,False,,False,False,True
B325,Saudi Arabia→Egypt 1913-2018,B,Medio_Oriente,Saudi Arabia,Egypt,gradual,0.1867,0.2003,0.4476,0.0001,0.0452,0.098,0.2753,0.26,70,1913,2018,True,0.87,4.87,3.793,True,0.35912043046020525,False,True,True
B326,Saudi Arabia→Jordan 1913-2018,B,Medio_Oriente,Saudi Arabia,Jordan,gradual,0.3646,0.6163,0.785,0.0,0.0349,0.2962,0.4329,0.181,70,1913,2018,True,0.9095,3.32,4.593,True,0.21272453028436378,False,True,True
B327,Saudi Arabia→Lebanon 1913-2018,B,Medio_Oriente,Saudi Arabia,Lebanon,gradual,0.6142,0.7194,0.8482,0.0,0.0465,0.5231,0.7054,0.338,70,1913,2018,True,0.831,6.46,3.292,True,0.01283829119610072,True,True,True
B328,Saudi Arabia→Syria 1913-2018,B,Medio_Oriente,Saudi Arabia,Syria,gradual,0.6684,0.5612,0.7491,0.0,0.0717,0.5279,0.8088,0.048,70,1913,2018,True,0.976,0.85,9.074,False,,False,False,True
B329,Saudi Arabia→Yemen 1950-2018,B,Medio_Oriente,Saudi Arabia,Yemen,gradual,0.3636,0.4614,0.6793,0.0,0.048,0.2695,0.4577,0.061,69,1950,2018,True,0.9695,1.07,8.036,False,,False,False,True
B330,Jordan→Egypt 1913-2018,B,Medio_Oriente,Jordan,Egypt,gradual,-0.1779,0.2675,-0.5172,0.0,0.0357,-0.2479,-0.1079,0.177,70,1913,2018,True,0.9115,3.24,4.647,True,0.4489696023157262,False,False,True
B331,Lebanon→Egypt 1913-2018,B,Medio_Oriente,Lebanon,Egypt,gradual,-0.4276,0.4538,-0.6736,0.0,0.0569,-0.539,-0.3161,0.306,70,1913,2018,True,0.847,5.8,3.474,True,0.10019980957563619,False,True,True
B332,Syria→Egypt 1913-2018,B,Medio_Oriente,Syria,Egypt,gradual,-0.4817,0.3146,-0.5609,0.0,0.0862,-0.6507,-0.3127,0.068,70,1913,2018,True,0.966,1.21,7.604,False,,False,False,True
B333,Egypt→Yemen 1950-2018,B,Medio_Oriente,Egypt,Yemen,gradual,0.2779,0.3096,0.5564,0.0,0.0507,0.1786,0.3773,0.038,69,1950,2018,True,0.981,0.66,10.211,False,,False,False,True
B334,Lebanon→Jordan 1913-2018,B,Medio_Oriente,Lebanon,Jordan,gradual,-0.2497,0.2617,-0.5116,0.0,0.0509,-0.3493,-0.15,0.315,70,1913,2018,True,0.8425,5.98,3.42,True,0.22507818849132394,False,True,True
B335,Syria→Jordan 1913-2018,B,Medio_Oriente,Syria,Jordan,gradual,-0.3038,0.267,-0.5168,0.0,0.061,-0.4234,-0.1842,0.056,70,1913,2018,True,0.972,0.99,8.392,False,,False,False,True
B336,Jordan→Yemen 1950-2018,B,Medio_Oriente,Jordan,Yemen,gradual,0.0539,0.0304,0.1744,0.1519,0.0372,-0.019,0.1269,0.106,69,1950,2018,False,0.947,1.88,6.061,False,,False,False,True
B337,Lebanon→Syria 1913-2018,B,Medio_Oriente,Lebanon,Syria,gradual,0.0541,0.0051,0.0717,0.5555,0.0914,-0.1249,0.2332,0.1,70,1913,2018,False,0.95,1.79,6.245,False,,False,False,True
B338,Lebanon→Yemen 1950-2018,B,Medio_Oriente,Lebanon,Yemen,gradual,-0.2053,0.1099,-0.3315,0.0054,0.0714,-0.3452,-0.0654,0.159,69,1950,2018,True,0.9205,2.86,4.915,False,,False,False,True
B339,Syria→Yemen 1950-2018,B,Medio_Oriente,Syria,Yemen,gradual,-0.2622,0.4263,-0.6529,0.0,0.0372,-0.3351,-0.1894,0.145,69,1950,2018,True,0.9275,2.6,5.156,False,,False,False,True
B340,Egypt→Morocco 1913-2018,B,Africa_Norte,Egypt,Morocco,gradual,0.2342,0.5225,0.7228,0.0,0.0271,0.181,0.2874,0.404,70,1913,2018,True,0.798,7.86,2.983,True,0.028181410524463178,True,True,True
B341,Algeria→Egypt 1913-2018,B,Africa_Norte,Algeria,Egypt,gradual,-0.1119,0.2704,-0.52,0.0,0.0223,-0.1556,-0.0682,0.225,70,1913,2018,True,0.8875,4.17,4.096,True,0.3367471302625383,False,True,True
