id,descripcion,dominio,b,r2,p,n,fuente,significativo
E3_192,Sierra Leone COVID-19 growth phase 2020,E3,0.7468,0.9158,0.0,60,OWID COVID-19 (JHU),True
E3_193,Singapore COVID-19 growth phase 2020,E3,1.4124,0.7141,0.0,60,OWID COVID-19 (JHU),True
E3_194,Sint Maarten (Dutch part) COVID-19 growth phase 2020,E3,0.5529,0.8938,0.0,60,OWID COVID-19 (JHU),True
E3_195,Slovakia COVID-19 growth phase 2020,E3,0.7816,0.8913,0.0,60,OWID COVID-19 (JHU),True
E3_196,Slovenia COVID-19 growth phase 2020,E3,0.6303,0.91,0.0,60,OWID COVID-19 (JHU),True
E3_197,Solomon Islands COVID-19 growth phase 2020,E3,1.184,0.9198,0.0,60,OWID COVID-19 (JHU),True
E3_198,Somalia COVID-19 growth phase 2020,E3,0.9719,0.9293,0.0,60,OWID COVID-19 (JHU),True
E3_199,South Africa COVID-19 growth phase 2020,E3,1.1976,0.8911,0.0,60,OWID COVID-19 (JHU),True
E3_200,South Korea COVID-19 growth phase 2020,E3,0.9453,0.8457,0.0,60,OWID COVID-19 (JHU),True
E3_201,South Sudan COVID-19 growth phase 2020,E3,1.0135,0.9087,0.0,60,OWID COVID-19 (JHU),True
E3_202,Spain COVID-19 growth phase 2020,E3,2.6125,0.9092,0.0,60,OWID COVID-19 (JHU),True
E3_203,Sri Lanka COVID-19 growth phase 2020,E3,0.7847,0.7879,0.0,60,OWID COVID-19 (JHU),True
E3_204,Sudan COVID-19 growth phase 2020,E3,1.2579,0.9112,0.0,60,OWID COVID-19 (JHU),True
E3_205,Suriname COVID-19 growth phase 2020,E3,0.7717,0.8342,0.0,60,OWID COVID-19 (JHU),True
E3_206,Sweden COVID-19 growth phase 2020,E3,1.6018,0.9207,0.0,60,OWID COVID-19 (JHU),True
E3_207,Switzerland COVID-19 growth phase 2020,E3,1.5298,0.9029,0.0,60,OWID COVID-19 (JHU),True
E3_208,Syria COVID-19 growth phase 2020,E3,0.5148,0.7401,0.0,60,OWID COVID-19 (JHU),True
E3_209,Tajikistan COVID-19 growth phase 2020,E3,0.8202,0.9149,0.0,60,OWID COVID-19 (JHU),True
E3_210,Tanzania COVID-19 growth phase 2020,E3,0.409,0.8052,0.0,60,OWID COVID-19 (JHU),True
E3_211,Thailand COVID-19 growth phase 2020,E3,1.109,0.8894,0.0,60,OWID COVID-19 (JHU),True
E3_212,Togo COVID-19 growth phase 2020,E3,0.5559,0.9026,0.0,60,OWID COVID-19 (JHU),True
E3_213,Tonga COVID-19 growth phase 2020,E3,1.446,0.8112,0.0,60,OWID COVID-19 (JHU),True
E3_214,Trinidad and Tobago COVID-19 growth phase 2020,E3,0.0493,0.8422,0.0,60,OWID COVID-19 (JHU),True
E3_215,Tunisia COVID-19 growth phase 2020,E3,0.4479,0.9073,0.0,60,OWID COVID-19 (JHU),True
E3_216,Turkey COVID-19 growth phase 2020,E3,1.7368,0.9212,0.0,60,OWID COVID-19 (JHU),True
E3_217,Turks and Caicos Islands COVID-19 growth phase 2020,E3,0.6508,0.893,0.0,60,OWID COVID-19 (JHU),True
E3_218,Tuvalu COVID-19 growth phase 2020,E3,0.8946,0.7847,0.0,60,OWID COVID-19 (JHU),True
E3_219,Uganda COVID-19 growth phase 2020,E3,0.5476,0.9258,0.0,60,OWID COVID-19 (JHU),True
E3_220,Ukraine COVID-19 growth phase 2020,E3,1.6867,0.9134,0.0,60,OWID COVID-19 (JHU),True
E3_221,United Arab Emirates COVID-19 growth phase 2020,E3,1.718,0.9024,0.0,60,OWID COVID-19 (JHU),True
E3_222,United Kingdom COVID-19 growth phase 2020,E3,2.1415,0.9142,0.0,60,OWID COVID-19 (JHU),True
E3_223,United States COVID-19 growth phase 2020,E3,2.7497,0.9122,0.0,60,OWID COVID-19 (JHU),True
E3_224,United States Virgin Islands COVID-19 growth phase 2020,E3,0.7359,0.861,0.0,60,OWID COVID-19 (JHU),True
E3_225,Upper-middle-income countries COVID-19 growth phase 2020,E3,2.2696,0.8944,0.0,60,OWID COVID-19 (JHU),True
E3_226,Uruguay COVID-19 growth phase 2020,E3,0.3345,0.9179,0.0,60,OWID COVID-19 (JHU),True
E3_227,Uzbekistan COVID-19 growth phase 2020,E3,0.9218,0.9029,0.0,60,OWID COVID-19 (JHU),True
E3_228,Vanuatu COVID-19 growth phase 2020,E3,1.1874,0.9145,0.0,60,OWID COVID-19 (JHU),True
E3_229,Venezuela COVID-19 growth phase 2020,E3,0.5644,0.7404,0.0,60,OWID COVID-19 (JHU),True
E3_230,Vietnam COVID-19 growth phase 2020,E3,0.1791,0.8745,0.0,60,OWID COVID-19 (JHU),True
E3_231,Wallis and Futuna COVID-19 growth phase 2020,E3,0.3114,0.8631,0.0,60,OWID COVID-19 (JHU),True
E3_232,Yemen COVID-19 growth phase 2020,E3,0.8417,0.8837,0.0,60,OWID COVID-19 (JHU),True
E3_233,Zambia COVID-19 growth phase 2020,E3,0.8885,0.9014,0.0,60,OWID COVID-19 (JHU),True
E3_234,Zimbabwe COVID-19 growth phase 2020,E3,0.7284,0.7841,0.0,60,OWID COVID-19 (JHU),True
